Number of hit	Text ID	Context before	Query item	Context after	Tagged context before	Tagged query item	Tagged context after	Additional Title(s)	Alternative Title(s)	ID numbers (STC)	Century	Century Status	Decade	Decade Status	Half Century	Half Century Status	ID numbers (marc, bibno)	Keyword Terms	Author(s)	Rough-draft genre (experimental, incomplete)	Notes	Publication Place(s)	Publisher(s)	Quarter Century	Quarter Century Status	BIBNO tag(s)	STC tag(s)	VID tag(s)	Title	Year	Year Status	URL	Match-begin corpus position	Match-end corpus position
1080	A64359	Hell , and Rose again from the Dead the third Day , and is Ascended up into Heaven , and	<<< is sat >>>	down at the Right hand of God , from whence he shall come to Judge the Quick and the Dead	Hell_NN1 ,_YCOM and_CC Rose_VVN again_RT from_II the_AT Dead_JJ the_AT third_MD Day_NNT1 ,_YCOM and_CC is_VBZ Ascended_VVN up_RP into_II Heaven_NN1 ,_YCOM and_CC	<<< is_VBZ sat_VVN >>>	down_RP at_II the_AT Right_JJ hand_NN1 of_IO God_NP1 ,_YCOM from_II whence_RRQ he_PPHS1 shall_VM come_VVI to_TO Judge_VV0 the_AT Quick_JJ and_CC the_AT Dead_JJ	_NO_TITLES_LISTED_	_NO_TITLES_LISTED_	Wing T698.	1600_1699	CERTAIN	1680_1689	CERTAIN	1650_1699	CERTAIN	18148961	Catholic Church -- Controversial literature. | Transubstantiation.	Tenison, Thomas, 1636-1715.	RELIGION_DOCTRINE_THEOLOGY_AND_GOVERNANCE	&quot;Licensed, September 24, 1688.&quot; | Attributed to Tenison by Wing and NUC pre-1956 imprints. | Errata: p. [1] at end. | Imperfect: cropped and stained with loss of print. Best copy available for photographing. | Reproduction of original in the Union Theological Seminary Library, New York.	London	Printed for Randall Taylor ..	1675_1699	CERTAIN	oclc: 18148961	W: T698 | C: R38802	106854	A friendly debate between a Roman Catholick and a Protestant concerning the doctrine of transubstantiation wherein the said doctrine is utterly confuted, and Antichrist is clearly and fully described, and his inevitable destruction predicted : with a challenge to all the Romish doctors that preach and teach the said doctrine, to answer it.	1688	CERTAIN	https://cqpweb.lancs.ac.uk/eebov3/context.php?qid=006421&batch=1079	964930421	964930422
1081	A64359	so . And the Holy Scriptures say clearly and positively , That Christ is ascended up into Heaven , and	<<< is sat >>>	down at the Right hand of God , and there he is to sit until God has made his enemies	so_RR ._YSTP And_CC the_AT Holy_JJ Scriptures_NN2 say_VV0 clearly_RR and_CC positively_RR ,_YCOM That_CST Christ_NP1 is_VBZ ascended_VVN up_RP into_II Heaven_NN1 ,_YCOM and_CC	<<< is_VBZ sat_VVN >>>	down_RP at_II the_AT Right_JJ hand_NN1 of_IO God_NP1 ,_YCOM and_CC there_RL he_PPHS1 is_VBZ to_TO sit_VVI until_CS God_NP1 has_VHZ made_VVN his_APPGE enemies_NN2	_NO_TITLES_LISTED_	_NO_TITLES_LISTED_	Wing T698.	1600_1699	CERTAIN	1680_1689	CERTAIN	1650_1699	CERTAIN	18148961	Catholic Church -- Controversial literature. | Transubstantiation.	Tenison, Thomas, 1636-1715.	RELIGION_DOCTRINE_THEOLOGY_AND_GOVERNANCE	&quot;Licensed, September 24, 1688.&quot; | Attributed to Tenison by Wing and NUC pre-1956 imprints. | Errata: p. [1] at end. | Imperfect: cropped and stained with loss of print. Best copy available for photographing. | Reproduction of original in the Union Theological Seminary Library, New York.	London	Printed for Randall Taylor ..	1675_1699	CERTAIN	oclc: 18148961	W: T698 | C: R38802	106854	A friendly debate between a Roman Catholick and a Protestant concerning the doctrine of transubstantiation wherein the said doctrine is utterly confuted, and Antichrist is clearly and fully described, and his inevitable destruction predicted : with a challenge to all the Romish doctors that preach and teach the said doctrine, to answer it.	1688	CERTAIN	https://cqpweb.lancs.ac.uk/eebov3/context.php?qid=006421&batch=1080	964930475	964930476
1082	A64451	Testimony , ( A London-Prisoner ) as it 's known to many . But now in peace with God he	<<< is sat >>>	down , And hath with Christ an everlasting Crown Of Immortality , Life and lasting joy , Which never shall	Testimony_NN1 ,_YCOM (_YBL A_ZZ1 London-Prisoner_NP1 )_YBR as_CSA it_PPH1 's_VBZ known_VVN to_II many_DA2 ._YSTP But_CCB now_RT in_II peace_NN1 with_IW God_NP1 he_PPHS1	<<< is_VBZ sat_VVN >>>	down_RP ,_YCOM And_CC hath_VHZ with_IW Christ_NP1 an_AT1 everlasting_JJ Crown_NN1 Of_IO Immortality_NN1 ,_YCOM Life_NN1 and_CC lasting_JJ joy_NN1 ,_YCOM Which_DDQ never_RR shall_VM	_NO_TITLES_LISTED_	_NO_TITLES_LISTED_	Wing T809.	1600_1699	CERTAIN	1660_1669	CERTAIN	1650_1699	CERTAIN	14545998	Burrough, Edward, -- 1634-1662. | Society of Friends -- Biography.	Howgill, Francis, 1618-1669. | Whitehead, George, 1636?-1723. | Coale, Josiah, 1632?-1668. | Fox, George, 1624-1691.	LONDON	Signed: Fran. Howgil. | Includes contributions by George Whitehead, Josiah Coale and George Fox. | Imperfect: pages stained and with print show-through. | Reproduction of original in the Huntington Library.	London	Printed and are to be sold by William Warwic	1650_1674	CERTAIN	oclc: 14545998	W: T809	102563	A testimony concerning the life, death, trials, travels and labours of Edward Burroughs that worthy prophet of the Lord who dyed a prisoner for the testimony of Jesus, and the word of God, in the city of London, the 14th of the 12th month, 1662 / [by] F.H.	1662	CERTAIN	https://cqpweb.lancs.ac.uk/eebov3/context.php?qid=006421&batch=1081	965870525	965870526
1083	A64454	any Mistake . but is highly exalted and glorified , being made higher then the Heavens , Heb. 7. 26.	<<< being sat >>>	down on the right Hand of the Majesty on high , Heb. 1 . 3. who is set on the	any_DD Mistake_NN1 ._YSTP but_CCB is_VBZ highly_RR exalted_VVN and_CC glorified_VVN ,_YCOM being_VBG made_VVN higher_RRR then_RT the_AT Heavens_NN2 ,_YCOM Heb._NP1 7._MC 26._MC	<<< being_VBG sat_VVN >>>	down_RP on_II the_AT right_JJ Hand_NN1 of_IO the_AT Majesty_NN1 on_II high_JJ ,_YCOM Heb._NP1 1_MC1 ._YSTP 3._MC who_PNQS is_VBZ set_VVN on_II the_AT	_NO_TITLES_LISTED_	_NO_TITLES_LISTED_	Wing T811.	1600_1699	CERTAIN	1670_1679	CERTAIN	1650_1699	CERTAIN	13770230	Haworth, William. -- Antidote against that poysonous and fundamental errour of the Quakers. | Jesus Christ -- Humanity -- Early works to 1800. | Society of Friends -- Doctrines.	_NO_AUTHORS_LISTED_	RELIGION_GENERAL	Place of publication from Wing. | Reproduction of original in Huntington Library.	London	s.n.	1675_1699	CERTAIN	oclc: 13770230	W: T811	101741	A Testimony for the man, Christ Jesus repelling the poyson &amp; fallacy of William Haworth's pretended antidote against the Quakers / from the people of [sic] Quakers at Hertford.	1676	CERTAIN	https://cqpweb.lancs.ac.uk/eebov3/context.php?qid=006421&batch=1082	965873707	965873708
1084	A64572	account of it in the ensuing reasons . First , Reason 1 . Preparation to the Lords Supper is to	<<< be stood >>>	upon , because it is very needful ( and suitable to the care of the Church of God in ancient	account_NN1 of_IO it_PPH1 in_II the_AT ensuing_JJ reasons_NN2 ._YSTP First_MD ,_YCOM Reason_NN1 1_MC1 ._YSTP Preparation_NN1 to_II the_AT Lords_NP Supper_NN1 is_VBZ to_TO	<<< be_VBI stood_VVN >>>	upon_II ,_YCOM because_CS it_PPH1 is_VBZ very_RG needful_JJ (_YBL and_CC suitable_JJ to_II the_AT care_NN1 of_IO the_AT Church_NN1 of_IO God_NP1 in_II ancient_JJ	_NO_TITLES_LISTED_	_NO_TITLES_LISTED_	Wing (2nd ed.) T988.	1600_1699	CERTAIN	1660_1669	CERTAIN	1650_1699	CERTAIN	99834758	Christian life -- Early works to 1800. | Conduct of life -- Early works to 1900.	Thomas, William, 1593-1667.	SERMONS	The words &quot;1. Reading .. Lords-day-Sabbath.&quot; and &quot;1. Houshold-catechising. .. Psalms.&quot; are bracketed together on title page. | Variant: imprint has &quot;Edward Thomaas&quot;. | Identified as Wing T988A on UMI microfilm &quot;Early English books, 1641-1700&quot; on reel 1160. | Dummy Reproduction of the original at the Union Theological Seminary Library (reel 1160) and the Congregational Library, London (reel 1820).	London	Printed for Edward Thomas, and are to be sold at his shop at the Adam and Eve in Little-Brittai	1650_1674	CERTAIN	umi: 99834758	W: T988	39273	A preservative of piety in a quiet reasoning for those duties of religion, that are the means and helps appointed of God for the preserving and promoting of godliness. Namely, I. Of four Christian-duties, viz. 1. Reading the Scriptures. 2. Preparation for the Lords Supper. 3. Estimation of the ministry. 4. Sanctification of the Lords-day-Sabbath. II. Of four family-duties, viz. 1. Houshold-catechising. 2. Family-prayer. 3. Repeating of sermons. 4. Singing of Psalms. With an epistle prefixt, to inform and satisfie the Christian reader, concerning the whole treatise. By William Thomas, rector of the church at Ubley in the county of Somerset.	1662	CERTAIN	https://cqpweb.lancs.ac.uk/eebov3/context.php?qid=006421&batch=1083	967545138	967545139
1085	A64600	Ethereal Pursuant , what though he rod On Lightning as he flew , a posting God ; The Musical Divan	<<< was sat >>>	before : So swift Great mares Trump the Echo bore , From mourning Thames to the murmuring Helicon-shore . Now	Ethereal_JJ Pursuant_JJ ,_YCOM what_DDQ though_CS he_PPHS1 rod_NN1 On_II Lightning_NN1 as_CSA he_PPHS1 flew_VVD ,_YCOM a_AT1 posting_NN1 God_NP1 ;_YSCOL The_AT Musical_JJ Divan_NN1	<<< was_VBDZ sat_VVN >>>	before_RT :_YCOL So_RR swift_JJ Great_JJ mares_NN2 Trump_VV0 the_AT Echo_NN1 bore_NN1 ,_YCOM From_II mourning_VVG Thames_NP1 to_II the_AT murmuring_JJ Helicon-shore_NN1 ._YSTP Now_RT	_NO_TITLES_LISTED_	_NO_TITLES_LISTED_	Wing U126. | MacDonald, H. John Dryden 279.	1600_1699	CERTAIN	1690_1699	CERTAIN	1650_1699	CERTAIN	12493387	Mary -- II, -- Queen of England, -- 1662-1694 -- Poetry.	_NO_AUTHORS_LISTED_	SATIRE_WIT_AND_HUMOUR	In verse. | &quot;Reproaching those poets, notably Dryden, who failed to elegize Queen Mary&quot;--NUC pre-1956. | Reproduction of original in British Library.	London	Printed by J.M. and B.B. and are to be sold by Rich. Baldwin ..	1675_1699	CERTAIN	oclc: 12493387	W: U126	62441	Urania's temple, or, A satyr upon the silent-poets	1695	CERTAIN	https://cqpweb.lancs.ac.uk/eebov3/context.php?qid=006421&batch=1084	967745268	967745269
1086	A64611	resist . As then stabilis , so instabilis , repugnabilis , are not passives , as if they signified to	<<< be stood >>>	, to be unstood , to be resisted ; but neutralls , which signify to stand long , not to	resist_VVI ._YSTP As_CSA then_RT stabilis_NN1 ,_YCOM so_RR instabilis_NN1 ,_YCOM repugnabilis_NN1 ,_YCOM are_VBR not_XX passives_NN2 ,_YCOM as_CS21 if_CS22 they_PPHS2 signified_VVD to_TO	<<< be_VBI stood_VVN >>>	,_YCOM to_TO be_VBI unstood_VVN ,_YCOM to_TO be_VBI resisted_VVN ;_YSCOL but_CCB neutralls_VVZ ,_YCOM which_DDQ signify_VV0 to_TO stand_VVI long_RR ,_YCOM not_XX to_TO	_NO_TITLES_LISTED_	_NO_TITLES_LISTED_	Wing U142. | McAlpin Coll. II 381.	1600_1699	CERTAIN	1640_1649	CERTAIN	1600_1649	CERTAIN	11964962	Heidelberger Katechismus. | Christianity -- Early works to 1800.	Ursinus, Zacharias, 1534-1583. | Parry, Henry, 1561-1616, | Pareus, David, 1548-1622. | A. R.,	RELIGION_ANTI_CATHOLICISM	Theologicall miscellanies of Doctor Pareus ... / [translated] by A.R., London, 1645, has special t.p. | A commentary on The Heidelberg Catechism. | Signatures *6, Mmm2, pages 759 to 760, 799 to 800, 805 to 806 stained; 57 to 58 torn with loss of text; 250, 629 to 630 misnumbered; 819 print is faded in filmed copy. Pages beginning-65 and signatures Mmm1-end of book photographed from University of Illinois Library copy and inserted at end. | Reproduction of original in Union Theological Seminary Library, New York.	London	Printed by James Young, and are to be sold by Steven Bowtell ..	1625_1649	CERTAIN	oclc: 11964962	W: u142	51672	The summe of Christian religion, delivered by Zacharias Ursinus first, by way of catechism, and then afterwards more enlarged by a sound and judicious exposition, and application of the same : wherein also are debated and resolved the questions of whatsoever points of moment have been, or are controversed in divinitie / first Englished by D. Henry Parry, and now again conferred with the best and last Latine edition of D. David Pareus, sometimes Professour of Divinity in Heidelberge ; whereunto is added a large and full alphabeticall table of such matters as are therein contained ; together with all the Scriptures that are occasionally handled, by way either of controversie, exposition, or reconciliation, neither of which was done before, but now is performed for the readers delight and benefit ; to this work of Ursinus are now at last annexed the Theologicall miscellanies of D. David Pareus in which the orthodoxall tenets are briefly and solidly confirmed, and the contrary errours of the Papists, Ubiquitaries, Antitrinitaries, Eutychians, Socinians, and Arminians fully refuted ; and now translated into English out of the originall Latine copie by A.R.	1645	CERTAIN	https://cqpweb.lancs.ac.uk/eebov3/context.php?qid=006421&batch=1085	968159940	968159941
1087	A64622	Christ , is of great importance , and the very foundation of allour comfort , it is more largely to	<<< be stood >>>	upon ; First therefore show how the elect are united to Christ his person . They are incorporated and made	Christ_NP1 ,_YCOM is_VBZ of_IO great_JJ importance_NN1 ,_YCOM and_CC the_AT very_JJ foundation_NN1 of_IO allour_NN1 comfort_NN1 ,_YCOM it_PPH1 is_VBZ more_RGR largely_RR to_TO	<<< be_VBI stood_VVN >>>	upon_II ;_YSCOL First_MD therefore_RR show_VV0 how_RRQ the_AT elect_NN1 are_VBR united_VVN to_II Christ_NP1 his_APPGE person_NN1 ._YSTP They_PPHS2 are_VBR incorporated_VVN and_CC made_VVN	_NO_TITLES_LISTED_	Body of divinity	Wing U151.	1600_1699	CERTAIN	1640_1649	CERTAIN	1600_1649	CERTAIN	12171713	Christianity.	Ussher, James, 1581-1656. | Downame, John, d. 1652.	RELIGION_CHRISTIANS	Errata: p. [13] following p. 451. | First edition. | &quot;To the Christian reader&quot; signed: John Downame. | Imperfect: &quot;Immanuel&quot; with special t.p. and separate paging, is lacking in filmed copy. | Reproduction of original in Union Theological Seminary Library, New York.	London	Printed by M.F. for Tho. Downes and Geo. Badger ..	1625_1649	CERTAIN	oclc: 12171713	W: U151	55421	A body of divinitie, or, The summe and substance of Christian religion catechistically propounded, and explained, by way of question and answer : methodically and familiarly handled / composed long since by James Vsher B. of Armagh, and at the earnest desires of divers godly Christians now printed and published ; whereunto is adjoyned a tract, intituled Immanvel, or, The mystery of the incarnation of the Son of God heretofore writen [sic] and published by the same authour.	1645	CERTAIN	https://cqpweb.lancs.ac.uk/eebov3/context.php?qid=006421&batch=1086	969199978	969199979
1088	A64668	slippery place to cause others to fall . Error is commonly joined with Cruelty . If Errors of practise should	<<< be stood >>>	upon , there could be no true Church upon Earth . Every Error doth not pollute all Truths ; No	slippery_JJ place_NN1 to_TO cause_VVI others_NN2 to_TO fall_VVI ._YSTP Error_NN1 is_VBZ commonly_RR joined_VVN with_IW Cruelty_NN1 ._YSTP If_CS Errors_NN2 of_IO practise_NN1 should_VM	<<< be_VBI stood_VVN >>>	upon_II ,_YCOM there_EX could_VM be_VBI no_AT true_JJ Church_NN1 upon_II Earth_NN1 ._YSTP Every_AT1 Error_NN1 doth_VDZ not_XX pollute_VV0 all_DB Truths_NN2 ;_YSCOL No_AT	_NO_TITLES_LISTED_	_NO_TITLES_LISTED_	Wing U20.	1600_1699	CERTAIN	1650_1659	CERTAIN	1650_1699	CERTAIN	13534497	Aphorisms and apothegms -- Early works to 1800.	Ufflet, John, b. 1603.	HISTORY	&quot;The contents of the book&quot;, [41] p. at end. | Dedication signed: T. T. | Reproduction of original in British Library.	London	Printed by T. L. ..	1650_1674	CERTAIN	oclc: 13534497	W: U20 | C: R8998	100032	VVits fancies, or, Choice observations and essayes collected out of divine, political, philosophical, military and historical authors / by John Ufflet ...	1659	CERTAIN	https://cqpweb.lancs.ac.uk/eebov3/context.php?qid=006421&batch=1087	969733123	969733124
1089	A64765	Fortune upon me . The desperate Wench , without frther Ceremonies brings me presently into the Chamber of Presence ,	<<< were sat >>>	Don Ambio on a high Throne swelling in the pride of his Humane Deity . Where he gave entertainment to	Fortune_NN1 upon_II me_PPIO1 ._YSTP The_AT desperate_JJ Wench_NN1 ,_YCOM without_IW frther_NN1 Ceremonies_NN2 brings_VVZ me_PPIO1 presently_RR into_II the_AT Chamber_NN1 of_IO Presence_NN1 ,_YCOM	<<< were_VBDR sat_VVN >>>	Don_NP1 Ambio_NP1 on_II a_AT1 high_JJ Throne_NN1 swelling_VVG in_II the_AT pride_NN1 of_IO his_APPGE Humane_JJ Deity_NN1 ._YSTP Where_CS he_PPHS1 gave_VVD entertainment_NN1 to_II	_NO_TITLES_LISTED_	_NO_TITLES_LISTED_	Wing V149.	1600_1699	CERTAIN	1650_1659	CERTAIN	1650_1699	CERTAIN	11894192	Alchemy. | Medicine -- 15th-18th centuries.	Howell, James, 1594?-1666. | Vaughan, Thomas, 1622-1666.	FOOD_AND_COOKERY	Attributed sometimes to Thomas Vaughan or to James Howell. Cf. Halkett &amp; Laing (2nd ed.). | Reproduction of original in Huntington Library.	London	Printed for Andrew Crooke, and are to be sold at the Green Dragon in S. Pauls Church-yar	1650_1674	CERTAIN	oclc: 11894192	W: V149	50532	A Hermeticall banquet, drest by a spagiricall cook for the better preservation of the microcosme.	1652	CERTAIN	https://cqpweb.lancs.ac.uk/eebov3/context.php?qid=006421&batch=1088	971145242	971145243
1090	A64779	by an extreme strange and unhappy accident . For Lucius being wounded in the manner I have told you ,	<<< was sat >>>	down with his face turned towards the enemies , holding his sword in his hand , which he still lift	by_II an_AT1 extreme_JJ strange_JJ and_CC unhappy_JJ accident_NN1 ._YSTP For_IF Lucius_NP1 being_VBG wounded_VVN in_II the_AT manner_NN1 I_PPIS1 have_VH0 told_VVN you_PPY ,_YCOM	<<< was_VBDZ sat_VVN >>>	down_RP with_IW his_APPGE face_NN1 turned_VVD towards_II the_AT enemies_NN2 ,_YCOM holding_VVG his_APPGE sword_NN1 in_II his_APPGE hand_NN1 ,_YCOM which_DDQ he_PPHS1 still_RR lift_VV0	_NO_TITLES_LISTED_	Grand Scipion. English	Wing V162.	1600_1699	CERTAIN	1660_1669	CERTAIN	1650_1699	CERTAIN	12379029	Scipio, -- Africanus, -- ca. 236 B.C.-183 B.C. -- Fiction.	Vaumorière, M. de (Pierre Ortigue), 1610-1693. | G. H.	FICTION	Reproduction of original in Huntington Library.	London	Printed for H. Mosley, Tho. Dring, and Hen. Herringman ..	1650_1674	CERTAIN	oclc: 12379029	W: V162	60667	The grand Scipio an excellent new romance / written in French by Monsieur de Vaumoriere ; and rendered into English by G.H.	1660	CERTAIN	https://cqpweb.lancs.ac.uk/eebov3/context.php?qid=006421&batch=1089	971615316	971615317
1091	A64799	use them with the same precautions which we gave in the Preface to this Tract : these precautions ought to	<<< be stood >>>	too as Religiously in using these Fruits , as in eating the others . The faults which are committed in	use_VVI them_PPHO2 with_IW the_AT same_DA precautions_NN2 which_DDQ we_PPIS2 gave_VVD in_II the_AT Preface_NN1 to_II this_DD1 Tract_NN1 :_YCOL these_DD2 precautions_NN2 ought_VMK to_TO	<<< be_VBI stood_VVN >>>	too_RG as_RG Religiously_RR in_II using_VVG these_DD2 Fruits_NN2 ,_YCOM as_CSA in_II eating_VVG the_AT others_NN2 ._YSTP The_AT faults_NN2 which_DDQ are_VBR committed_VVN in_II	_NO_TITLES_LISTED_	Art de tailler les arbres fruitiers. English	Arber's Term cat. II, 103. | Wing V187.	1600_1699	CERTAIN	1680_1689	CERTAIN	1650_1699	CERTAIN	13801525	Fruit -- Pruning -- Early works to 1800. | Fruit trees -- Early works to 1800.	Venette, Nicolas, 1633-1698.	ANALYSIS_AND_INSTRUCTION	Written by Nicolas Venette.  Cf. Wing. | Translation of: L'art de tailler les arbres fruitiers. | Advertisement on p. [3-8] at end. | Reproduction of original in Huntington Library.	London	Printed for Thom. Basset ..	1675_1699	CERTAIN	oclc: 13801525	W: V187 | C: R12617	101943	The art of pruning fruit-trees with an explanation of some words which gardiners make use of in speaking of trees, and a tract, Of the use of the fruits of trees for preserving us in health or for curing us when we are sick / translated from the French original set forth the last year by a physician of Rochelle.	1685	CERTAIN	https://cqpweb.lancs.ac.uk/eebov3/context.php?qid=006421&batch=1090	971712725	971712726
1092	A64809	under a large Canopy shining with Gold and precious Stones , of an inestimable value . As soon as they	<<< were sat >>>	down , the Music in the Galleries round about began to play such ravishing Tunes , that we Europeans were	under_II a_AT1 large_JJ Canopy_NN1 shining_VVG with_IW Gold_NN1 and_CC precious_JJ Stones_NN2 ,_YCOM of_IO an_AT1 inestimable_JJ value_NN1 ._YSTP As_CS31 soon_CS32 as_CS33 they_PPHS2	<<< were_VBDR sat_VVN >>>	down_RP ,_YCOM the_AT Music_NN1 in_II the_AT Galleries_NN2 round_VV0 about_RP began_VVD to_TO play_VVI such_DA ravishing_JJ Tunes_NN2 ,_YCOM that_CST we_PPIS2 Europeans_NN2 were_VBDR	_NO_TITLES_LISTED_	Histoire des Sevarambes. English	Wing V20. | Arber's Term cat. I, 210.	1600_1699	CERTAIN	1670_1679	CERTAIN	1650_1699	CERTAIN	12002160	Voyages, Imaginary. | Utopias -- Early works to 1800.	Allais, Denis Vairasse d', ca. 1630-1672. | Roberts, A., 17th cent.	HISTORY	Written by D. Vairasse.  Cf. Halkett &amp; Laing (2nd ed.). | Preface signed: D.V. | Translation of: Histoire des Sevarambes. | Translated by A. Roberts. | The second part has separate t.p. with imprint date 1679. | Advertisements on p. [1]-[4] at end. | Reproduction of original in University of Michigan Libraries.	London	Printed for Henry Brome ..	1675_1699	CERTAIN	oclc: 12002160	W: V20	52248	The history of the Sevarites or Sevarambi, a nation inhabiting part of the third continent commonly called Terræ australes incognitæ with an account of their admirable government, religion, customs, and language / written by one Captain Siden, a worthy person, who, together with many others, was cast upon those coasts, and lived many years in that country.	1675	CERTAIN	https://cqpweb.lancs.ac.uk/eebov3/context.php?qid=006421&batch=1091	972276332	972276333
1093	A64809	the great Hall of Ivory , where the King Sevarminas was to dine with all his Court . When we	<<< were sat >>>	down , we had all things needful presented before us , with a Concert of Music mingled with rare Voices	the_AT great_JJ Hall_NN1 of_IO Ivory_NN1 ,_YCOM where_CS the_AT King_NNB Sevarminas_NP1 was_VBDZ to_TO dine_VVI with_IW all_DB his_APPGE Court_NN1 ._YSTP When_CS we_PPIS2	<<< were_VBDR sat_VVN >>>	down_RP ,_YCOM we_PPIS2 had_VHD all_DB things_NN2 needful_JJ presented_VVN before_II us_PPIO2 ,_YCOM with_IW a_AT1 Concert_NN1 of_IO Music_NN1 mingled_VVN with_IW rare_JJ Voices_NN2	_NO_TITLES_LISTED_	Histoire des Sevarambes. English	Wing V20. | Arber's Term cat. I, 210.	1600_1699	CERTAIN	1670_1679	CERTAIN	1650_1699	CERTAIN	12002160	Voyages, Imaginary. | Utopias -- Early works to 1800.	Allais, Denis Vairasse d', ca. 1630-1672. | Roberts, A., 17th cent.	HISTORY	Written by D. Vairasse.  Cf. Halkett &amp; Laing (2nd ed.). | Preface signed: D.V. | Translation of: Histoire des Sevarambes. | Translated by A. Roberts. | The second part has separate t.p. with imprint date 1679. | Advertisements on p. [1]-[4] at end. | Reproduction of original in University of Michigan Libraries.	London	Printed for Henry Brome ..	1675_1699	CERTAIN	oclc: 12002160	W: V20	52248	The history of the Sevarites or Sevarambi, a nation inhabiting part of the third continent commonly called Terræ australes incognitæ with an account of their admirable government, religion, customs, and language / written by one Captain Siden, a worthy person, who, together with many others, was cast upon those coasts, and lived many years in that country.	1675	CERTAIN	https://cqpweb.lancs.ac.uk/eebov3/context.php?qid=006421&batch=1092	972288589	972288590
1094	A64809	about sat and stood his religious Counsellors and Judges . When it was noised about the Town , that Sevarminas	<<< was sat >>>	in his Judgment-seat , for it was not above nine of the clock in the morning , the whole Town	about_RP sat_VVD and_CC stood_VVD his_APPGE religious_JJ Counsellors_NN2 and_CC Judges_NN2 ._YSTP When_CS it_PPH1 was_VBDZ noised_VVN about_II the_AT Town_NN1 ,_YCOM that_CST Sevarminas_NN2	<<< was_VBDZ sat_VVN >>>	in_II his_APPGE Judgment-seat_NN1 ,_YCOM for_IF it_PPH1 was_VBDZ not_XX above_II nine_MC of_IO the_AT clock_NN1 in_II the_AT morning_NNT1 ,_YCOM the_AT whole_JJ Town_NN1	_NO_TITLES_LISTED_	Histoire des Sevarambes. English	Wing V20. | Arber's Term cat. I, 210.	1600_1699	CERTAIN	1670_1679	CERTAIN	1650_1699	CERTAIN	12002160	Voyages, Imaginary. | Utopias -- Early works to 1800.	Allais, Denis Vairasse d', ca. 1630-1672. | Roberts, A., 17th cent.	HISTORY	Written by D. Vairasse.  Cf. Halkett &amp; Laing (2nd ed.). | Preface signed: D.V. | Translation of: Histoire des Sevarambes. | Translated by A. Roberts. | The second part has separate t.p. with imprint date 1679. | Advertisements on p. [1]-[4] at end. | Reproduction of original in University of Michigan Libraries.	London	Printed for Henry Brome ..	1675_1699	CERTAIN	oclc: 12002160	W: V20	52248	The history of the Sevarites or Sevarambi, a nation inhabiting part of the third continent commonly called Terræ australes incognitæ with an account of their admirable government, religion, customs, and language / written by one Captain Siden, a worthy person, who, together with many others, was cast upon those coasts, and lived many years in that country.	1675	CERTAIN	https://cqpweb.lancs.ac.uk/eebov3/context.php?qid=006421&batch=1093	972291955	972291956
1095	A64888	it not relieved , that is , unless there be a sufficient power on foot , to force him who	<<< is sat >>>	down before it , to raise his siege , or at least to send Forces and Ammunitions into it .	it_PPH1 not_XX relieved_VVN ,_YCOM that_REX21 is_REX22 ,_YCOM unless_CS there_EX be_VBI a_AT1 sufficient_JJ power_NN1 on_II foot_NN1 ,_YCOM to_TO force_VVI him_PPHO1 who_PNQS	<<< is_VBZ sat_VVN >>>	down_RP before_CS it_PPH1 ,_YCOM to_TO raise_VVI his_APPGE siege_NN1 ,_YCOM or_CC at_RR21 least_RR22 to_TO send_VVI Forces_NN2 and_CC Ammunitions_NN2 into_II it_PPH1 ._YSTP	_NO_TITLES_LISTED_	Histoire du ministere d'Armand Jean du Plessis, cardinal duc de Richelieu, sous le regne de Louis le Juste, XIII, du nom roy de France et de Navarre. English	Wing V291.	1600_1699	CERTAIN	1650_1659	CERTAIN	1650_1699	CERTAIN	12241765	Richelieu, Armand Jean du Plessis, -- duc de, -- 1585-1642. | France -- History -- Louis XIII, 1610-1643. | France -- Politics and government -- 1610-1643.	Vialart, Charles, d. 1644. | J. D.	HISTORY	Translation of Histoire du ministere d'Armand Jean du Plessis, cardinal duc de Richelieu, sous le regne de Louis le Juste, XIII, du nom roy de France et de Navarre. | Advertisement: prelim. p. [8]. | Extends from 1624 to 1633. | First edition of this translation. | Reproduction of original in University of Illinois Library.	London	Printed by J. Macock, for Joshua Kirton ..., and are to be sold at the Kings Arms ..	1650_1674	CERTAIN	oclc: 12241765	W: v291	56802	The history of the government of France, under the administration of the great Armand du Plessis, Cardinall and Duke of Richlieu, and chief minister of state in that kingdome wherein occur many important negotiations relating to most part of Christendome in his time : with politique observations upon the chapters / translated out of French by J.D. Esq.	1657	CERTAIN	https://cqpweb.lancs.ac.uk/eebov3/context.php?qid=006421&batch=1094	973920504	973920505
