Number of hit	Text ID	Context before	Query item	Context after	Tagged context before	Tagged query item	Tagged context after	Country	Decade	Text genre	Text source	Year	URL	Matchbegin corpus position	Matchend corpus position
463	NB3__030811	on the basis of actual , rather than predicted results . " There is currently a five-month window between A-levels	<<< being sat >>>	and students starting university , so the timescale is not as tight as critics suggest . " This year head	on_II the_AT basis_NN1 of_IO actual_JJ ,_YCOM rather_II21 than_II22 predicted_JJ results_NN2 ._YSTP "_YQUO There_EX is_VBZ currently_RR a_AT1 five-month_JJ window_NN1 between_II A-levels_NN2	<<< being_VBG sat_VVN >>>	and_CC students_NN2 starting_VVG university_NN1 ,_YCOM so_CS the_AT timescale_NN1 is_VBZ not_XX as_RG tight_RR as_CSA critics_NN2 suggest_VV0 ._YSTP "_YQUO This_DD1 year_NNT1 head_JJ	UK	2000s	newspaper	Denver Post	2003	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=462	359656334	359656335
464	NB3__030830	this . " I 'm never going to be able to prove it , " she says . " I	<<< 'm sat >>>	here now and I 've got absolutely nothing to lose . If it was true that he said he was	this_DD1 ._YSTP "_YQUO I_PPIS1 'm_VBM never_RR going_VVGK to_TO be_VBI able_JK to_TO prove_VVI it_PPH1 ,_YCOM "_YQUO she_PPHS1 says_VVZ ._YSTP "_YQUO I_PPIS1	<<< 'm_VBM sat_VVN >>>	here_RL now_RT and_CC I_PPIS1 've_VH0 got_VVN absolutely_RR nothing_PN1 to_TO lose_VVI ._YSTP If_CS it_PPH1 was_VBDZ true_JJ that_CST he_PPHS1 said_VVD he_PPHS1 was_VBDZ	UK	2000s	newspaper	Denver Post	2003	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=463	360505993	360505994
465	NB3__031009	just went out around Tariff Street and I got picked up dead quickly . I was very nervous , I	<<< was sat >>>	there not making eye contact . My friend had told me what to do , but it had gone in	just_RR went_VVD out_RP around_II Tariff_NP1 Street_NNL1 and_CC I_PPIS1 got_VVD picked_VVN up_RP dead_RG quickly_RR ._YSTP I_PPIS1 was_VBDZ very_RG nervous_JJ ,_YCOM I_PPIS1	<<< was_VBDZ sat_VVN >>>	there_RL not_XX making_VVG eye_NN1 contact_NN1 ._YSTP My_APPGE friend_NN1 had_VHD told_VVN me_PPIO1 what_DDQ to_TO do_VDI ,_YCOM but_CCB it_PPH1 had_VHD gone_VVN in_II	UK	2000s	newspaper	Denver Post	2003	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=464	362190547	362190548
466	NB3__031107	He 'd come along to photoshoots and I 'd show up with all this - this shit and he 'd	<<< be stood >>>	there like , 'What the fuck am I supposed to do ? ' " I remember the first full-on photoshoot	He_PPHS1 'd_VM come_VVI along_RP to_II photoshoots_NN2 and_CC I_PPIS1 'd_VM show_VVI up_RP with_IW all_DB this_DD1 -_YDSH this_DD1 shit_NN1 and_CC he_PPHS1 'd_VM	<<< be_VBI stood_VVN >>>	there_RL like_VV0 ,_YCOM 'What_VV0 the_AT fuck_NN1 am_VBM I_PPIS1 supposed_JJ to_TO do_VDI ?_YQUE '_YQUO "_YQUO I_PPIS1 remember_VV0 the_AT first_MD full-on_JJ photoshoot_NN1	UK	2000s	newspaper	Denver Post	2003	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=465	363494127	363494128
467	NB3__031202	and over . " He went on : " When Holly had fell [ sic ] into the bath I	<<< was stood >>>	there waiting for some movement ... There was no movement . I just panicked and froze . " Stood here	and_CC over_RP ._YSTP "_YQUO He_PPHS1 went_VVD on_RP :_YCOL "_YQUO When_RRQ Holly_NN1 had_VHD fell_VVN [_YBL sic_RR ]_YBR into_II the_AT bath_NN1 I_PPIS1	<<< was_VBDZ stood_VVN >>>	there_RL waiting_VVG for_IF some_DD movement_NN1 ..._YLIP There_EX was_VBDZ no_AT movement_NN1 ._YSTP I_PPIS1 just_RR panicked_VVD and_CC froze_VVD ._YSTP "_YQUO Stood_VVD here_RL	UK	2000s	newspaper	Denver Post	2003	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=466	364352433	364352434
468	NB3__031203	them had got up from the bed . Mr Huntley : " There 's a lot of pressure when you	<<< 're stood >>>	up here . " Mr Latham : " You went into that bedroom with that girl because that 's where	them_PPHO2 had_VHD got_VVN up_RP from_II the_AT bed_NN1 ._YSTP Mr_NNB Huntley_NP1 :_YCOL "_YQUO There_EX 's_VBZ a_AT1 lot_NN1 of_IO pressure_NN1 when_CS you_PPY	<<< 're_VBR stood_VVN >>>	up_RP here_RL ._YSTP "_YQUO Mr_NNB Latham_NP1 :_YCOL "_YQUO You_PPY went_VVD into_II that_DD1 bedroom_NN1 with_IW that_DD1 girl_NN1 because_CS that_DD1 's_VBZ where_RRQ	UK	2000s	newspaper	Denver Post	2003	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=467	364375065	364375066
469	NB3__040108	of Britain 's smallest brothels has closed down after an undercover police inquiry cracked a vice ring . Exams could	<<< be sat >>>	online in two years It looks as though time is up for the traditional pen-and-paper examination , the stuff of	of_IO Britain_NP1 's_GE smallest_JJT brothels_NN2 has_VHZ closed_VVN down_RP after_II an_AT1 undercover_JJ police_NN2 inquiry_NN1 cracked_VVD a_AT1 vice_JJ ring_NN1 ._YSTP Exams_NN2 could_VM	<<< be_VBI sat_VVN >>>	online_RR in_II two_MC years_NNT2 It_PPH1 looks_VVZ as_CS21 though_CS22 time_NNT1 is_VBZ up_RP for_IF the_AT traditional_JJ pen-and-paper_JJ examination_NN1 ,_YCOM the_AT stuff_NN1 of_IO	UK	2000s	newspaper	Denver Post	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=468	364935534	364935535
470	NB3__040108	to midnight Salt mine to become huge dump for toxic waste 'Missing' pupils blamed on league table competition Exams could	<<< be sat >>>	online in two years Action now could still save some threatened species Chris Thomas and Alison Cameron Our estimates of	to_II midnight_NNT1 Salt_NN1 mine_NN1 to_TO become_VVI huge_JJ dump_NN1 for_IF toxic_JJ waste_NN1 'Missing'_NN1 pupils_NN2 blamed_VVN on_II league_NN1 table_NN1 competition_NN1 Exams_NN2 could_VM	<<< be_VBI sat_VVN >>>	online_RR in_II two_MC years_NNT2 Action_NN1 now_RT could_VM still_RR save_VVI some_DD threatened_JJ species_NN Chris_NP1 Thomas_NP1 and_CC Alison_NP1 Cameron_NP1 Our_APPGE estimates_NN2 of_IO	UK	2000s	newspaper	Denver Post	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=469	364938814	364938815
471	NB3__040108	to midnight Salt mine to become huge dump for toxic waste 'Missing' pupils blamed on league table competition Exams could	<<< be sat >>>	online in two years An unnatural disaster Global warming to kill off 1m species Scientists shocked by results of research	to_II midnight_NNT1 Salt_NN1 mine_NN1 to_TO become_VVI huge_JJ dump_NN1 for_IF toxic_JJ waste_NN1 'Missing'_NN1 pupils_NN2 blamed_VVN on_II league_NN1 table_NN1 competition_NN1 Exams_NN2 could_VM	<<< be_VBI sat_VVN >>>	online_RR in_II two_MC years_NNT2 An_AT1 unnatural_JJ disaster_NN1 Global_JJ warming_NN1 to_TO kill_VVI off_RP 1m_NNU species_NN Scientists_NN2 shocked_VVD by_II results_NN2 of_IO research_NN1	UK	2000s	newspaper	Denver Post	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=470	364939492	364939493
472	NB3__040108	to midnight Salt mine to become huge dump for toxic waste 'Missing' pupils blamed on league table competition Exams could	<<< be sat >>>	online in two years Doctor sued for exploiting ex-Beatle as he lay dying Duncan Campbell in Los Angeles The family	to_II midnight_NNT1 Salt_NN1 mine_NN1 to_TO become_VVI huge_JJ dump_NN1 for_IF toxic_JJ waste_NN1 'Missing'_NN1 pupils_NN2 blamed_VVN on_II league_NN1 table_NN1 competition_NN1 Exams_NN2 could_VM	<<< be_VBI sat_VVN >>>	online_RR in_II two_MC years_NNT2 Doctor_NN1 sued_VVN for_IF exploiting_VVG ex-Beatle_JJ as_CSA he_PPHS1 lay_VVD dying_VVG Duncan_NP1 Campbell_NP1 in_II Los_NP1 Angeles_NP1 The_AT family_NN1	UK	2000s	newspaper	Denver Post	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=471	364940902	364940903
473	NB3__040108	to midnight Salt mine to become huge dump for toxic waste 'Missing' pupils blamed on league table competition Exams could	<<< be sat >>>	online in two years BA in talks on anti-missile lasers US bans flight toilet queues and orders new passport visas	to_II midnight_NNT1 Salt_NN1 mine_NN1 to_TO become_VVI huge_JJ dump_NN1 for_IF toxic_JJ waste_NN1 'Missing'_NN1 pupils_NN2 blamed_VVN on_II league_NN1 table_NN1 competition_NN1 Exams_NN2 could_VM	<<< be_VBI sat_VVN >>>	online_RR in_II two_MC years_NNT2 BA_NN1 in_II talks_NN2 on_II anti-missile_JJ lasers_NN2 US_NP1 bans_VVZ flight_NN1 toilet_NN1 queues_NN2 and_CC orders_NN2 new_JJ passport_NN1 visas_NN2	UK	2000s	newspaper	Denver Post	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=472	364941481	364941482
474	NB3__040108	to midnight Salt mine to become huge dump for toxic waste 'Missing' pupils blamed on league table competition Exams could	<<< be sat >>>	online in two years More missions planned in next 10 years Tim Radford The silence of Beagle 2 is a	to_II midnight_NNT1 Salt_NN1 mine_NN1 to_TO become_VVI huge_JJ dump_NN1 for_IF toxic_JJ waste_NN1 'Missing'_NN1 pupils_NN2 blamed_VVN on_II league_NN1 table_NN1 competition_NN1 Exams_NN2 could_VM	<<< be_VBI sat_VVN >>>	online_RR in_II two_MC years_NNT2 More_RRR missions_NN2 planned_VVN in_II next_MD 10_MC years_NNT2 Tim_NP1 Radford_NP1 The_AT silence_NN1 of_IO Beagle_NP1 2_MC is_VBZ a_AT1	UK	2000s	newspaper	Denver Post	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=473	364942373	364942374
475	NB3__040108	to midnight Salt mine to become huge dump for toxic waste 'Missing' pupils blamed on league table competition Exams could	<<< be sat >>>	online in two years Still no signal from lander , but mission control refuses to give up on Beagle 2	to_II midnight_NNT1 Salt_NN1 mine_NN1 to_TO become_VVI huge_JJ dump_NN1 for_IF toxic_JJ waste_NN1 'Missing'_NN1 pupils_NN2 blamed_VVN on_II league_NN1 table_NN1 competition_NN1 Exams_NN2 could_VM	<<< be_VBI sat_VVN >>>	online_RR in_II two_MC years_NNT2 Still_RR no_AT signal_NN1 from_II lander_NN1 ,_YCOM but_CCB mission_NN1 control_NN1 refuses_VVZ to_TO give_VVI up_RP on_II Beagle_NP1 2_MC	UK	2000s	newspaper	Denver Post	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=474	364943094	364943095
476	NB3__040108	to midnight Salt mine to become huge dump for toxic waste 'Missing' pupils blamed on league table competition Exams could	<<< be sat >>>	online in two years GM crops linked to rise in pesticide use John Vidal Eight years of planting genetically modified	to_II midnight_NNT1 Salt_NN1 mine_NN1 to_TO become_VVI huge_JJ dump_NN1 for_IF toxic_JJ waste_NN1 'Missing'_NN1 pupils_NN2 blamed_VVN on_II league_NN1 table_NN1 competition_NN1 Exams_NN2 could_VM	<<< be_VBI sat_VVN >>>	online_RR in_II two_MC years_NNT2 GM_NP1 crops_NN2 linked_VVN to_TO rise_VVI in_II pesticide_NN1 use_NN1 John_NP1 Vidal_NP1 Eight_MC years_NNT2 of_IO planting_VVG genetically_RR modified_JJ	UK	2000s	newspaper	Denver Post	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=475	364944303	364944304
477	NB3__040108	to midnight Salt mine to become huge dump for toxic waste 'Missing' pupils blamed on league table competition Exams could	<<< be sat >>>	online in two years 'Suicide by cop' verdict on man A jury at Aylesbury coroner 's court returned a verdict	to_II midnight_NNT1 Salt_NN1 mine_NN1 to_TO become_VVI huge_JJ dump_NN1 for_IF toxic_JJ waste_NN1 'Missing'_NN1 pupils_NN2 blamed_VVN on_II league_NN1 table_NN1 competition_NN1 Exams_NN2 could_VM	<<< be_VBI sat_VVN >>>	online_RR in_II two_MC years_NNT2 'Suicide_VV0 by_II cop'_JJ verdict_NN1 on_II man_NN1 A_ZZ1 jury_NN1 at_II Aylesbury_NP1 coroner_NN1 's_GE court_NN1 returned_VVD a_AT1 verdict_NN1	UK	2000s	newspaper	Denver Post	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=476	364945338	364945339
478	NB3__040108	to midnight Salt mine to become huge dump for toxic waste 'Missing' pupils blamed on league table competition Exams could	<<< be sat >>>	online in two years Steady increase in drivers over the alcohol limit this Christmas Rosie Cowan , crime correspondent British	to_II midnight_NNT1 Salt_NN1 mine_NN1 to_TO become_VVI huge_JJ dump_NN1 for_IF toxic_JJ waste_NN1 'Missing'_NN1 pupils_NN2 blamed_VVN on_II league_NN1 table_NN1 competition_NN1 Exams_NN2 could_VM	<<< be_VBI sat_VVN >>>	online_RR in_II two_MC years_NNT2 Steady_JJ increase_NN1 in_II drivers_NN2 over_II the_AT alcohol_NN1 limit_VV0 this_DD1 Christmas_NNT1 Rosie_NP1 Cowan_NP1 ,_YCOM crime_NN1 correspondent_NN1 British_JJ	UK	2000s	newspaper	Denver Post	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=477	364945717	364945718
479	NB3__040108	to midnight Salt mine to become huge dump for toxic waste 'Missing' pupils blamed on league table competition Exams could	<<< be sat >>>	online in two years String quartet to sing along with FBI chief David Ward A string quartet in which the	to_II midnight_NNT1 Salt_NN1 mine_NN1 to_TO become_VVI huge_JJ dump_NN1 for_IF toxic_JJ waste_NN1 'Missing'_NN1 pupils_NN2 blamed_VVN on_II league_NN1 table_NN1 competition_NN1 Exams_NN2 could_VM	<<< be_VBI sat_VVN >>>	online_RR in_II two_MC years_NNT2 String_NN1 quartet_NN1 to_TO sing_VVI along_II21 with_II22 FBI_NP1 chief_NN1 David_NP1 Ward_NP1 A_ZZ1 string_NN1 quartet_NN1 in_II which_DDQ the_AT	UK	2000s	newspaper	Denver Post	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=478	364946609	364946610
480	NB3__040108	to midnight Salt mine to become huge dump for toxic waste 'Missing' pupils blamed on league table competition Exams could	<<< be sat >>>	online in two years Obesity : rising fears of cancer time bomb Prostate , womb , kidney , breast ,	to_II midnight_NNT1 Salt_NN1 mine_NN1 to_TO become_VVI huge_JJ dump_NN1 for_IF toxic_JJ waste_NN1 'Missing'_NN1 pupils_NN2 blamed_VVN on_II league_NN1 table_NN1 competition_NN1 Exams_NN2 could_VM	<<< be_VBI sat_VVN >>>	online_RR in_II two_MC years_NNT2 Obesity_NP1 :_YCOL rising_VVG fears_NN2 of_IO cancer_NN1 time_NNT1 bomb_NN1 Prostate_NN1 ,_YCOM womb_VV0 ,_YCOM kidney_NN1 ,_YCOM breast_NN1 ,_YCOM	UK	2000s	newspaper	Denver Post	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=479	364947327	364947328
481	NB3__040108	to midnight Salt mine to become huge dump for toxic waste 'Missing' pupils blamed on league table competition Exams could	<<< be sat >>>	online in two years Public inquiry into Soham murders to begin next week Press Association An inquiry into how Ian	to_II midnight_NNT1 Salt_NN1 mine_NN1 to_TO become_VVI huge_JJ dump_NN1 for_IF toxic_JJ waste_NN1 'Missing'_NN1 pupils_NN2 blamed_VVN on_II league_NN1 table_NN1 competition_NN1 Exams_NN2 could_VM	<<< be_VBI sat_VVN >>>	online_RR in_II two_MC years_NNT2 Public_JJ inquiry_NN1 into_II Soham_NP1 murders_NN2 to_TO begin_VVI next_MD week_NNT1 Press_NN1 Association_NN1 An_AT1 inquiry_NN1 into_II how_RRQ Ian_NP1	UK	2000s	newspaper	Denver Post	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=480	364948445	364948446
482	NB3__040108	to midnight Salt mine to become huge dump for toxic waste 'Missing' pupils blamed on league table competition Exams could	<<< be sat >>>	online in two years Sting closes caravan brothel Martin Wainwright One of Britain 's smallest brothels has closed down after	to_II midnight_NNT1 Salt_NN1 mine_NN1 to_TO become_VVI huge_JJ dump_NN1 for_IF toxic_JJ waste_NN1 'Missing'_NN1 pupils_NN2 blamed_VVN on_II league_NN1 table_NN1 competition_NN1 Exams_NN2 could_VM	<<< be_VBI sat_VVN >>>	online_RR in_II two_MC years_NNT2 Sting_NP1 closes_VVZ caravan_NN1 brothel_NN1 Martin_NP1 Wainwright_NP1 One_MC1 of_IO Britain_NP1 's_GE smallest_JJT brothels_NN2 has_VHZ closed_VVN down_RP after_II	UK	2000s	newspaper	Denver Post	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=481	364949136	364949137
483	NB3__040108	to midnight Salt mine to become huge dump for toxic waste 'Missing' pupils blamed on league table competition Exams could	<<< be sat >>>	online in two years Tatchell asks court to issue arrest warrant for Mugabe Tania Branigan A British court yesterday began	to_II midnight_NNT1 Salt_NN1 mine_NN1 to_TO become_VVI huge_JJ dump_NN1 for_IF toxic_JJ waste_NN1 'Missing'_NN1 pupils_NN2 blamed_VVN on_II league_NN1 table_NN1 competition_NN1 Exams_NN2 could_VM	<<< be_VBI sat_VVN >>>	online_RR in_II two_MC years_NNT2 Tatchell_NP1 asks_VVZ court_NN1 to_TO issue_VVI arrest_NN1 warrant_NN1 for_IF Mugabe_NP1 Tania_NP1 Branigan_NP1 A_ZZ1 British_JJ court_NN1 yesterday_RT began_VVD	UK	2000s	newspaper	Denver Post	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=482	364949618	364949619
484	NB3__040108	to midnight Salt mine to become huge dump for toxic waste 'Missing' pupils blamed on league table competition Exams could	<<< be sat >>>	online in two years Diana case handed to senior officer Metropolitan police chief puts new man in charge of investigation	to_II midnight_NNT1 Salt_NN1 mine_NN1 to_TO become_VVI huge_JJ dump_NN1 for_IF toxic_JJ waste_NN1 'Missing'_NN1 pupils_NN2 blamed_VVN on_II league_NN1 table_NN1 competition_NN1 Exams_NN2 could_VM	<<< be_VBI sat_VVN >>>	online_RR in_II two_MC years_NNT2 Diana_NP1 case_NN1 handed_VVN to_II senior_JJ officer_NN1 Metropolitan_JJ police_NN2 chief_NN1 puts_VVZ new_JJ man_NN1 in_II31 charge_II32 of_II33 investigation_NN1	UK	2000s	newspaper	Denver Post	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=483	364950239	364950240
485	NB3__040108	to midnight Salt mine to become huge dump for toxic waste 'Missing' pupils blamed on league table competition Exams could	<<< be sat >>>	online in two years How men take their time ( and use it to watch TV ) John Carvel Men	to_II midnight_NNT1 Salt_NN1 mine_NN1 to_TO become_VVI huge_JJ dump_NN1 for_IF toxic_JJ waste_NN1 'Missing'_NN1 pupils_NN2 blamed_VVN on_II league_NN1 table_NN1 competition_NN1 Exams_NN2 could_VM	<<< be_VBI sat_VVN >>>	online_RR in_II two_MC years_NNT2 How_RRQ men_NN2 take_VV0 their_APPGE time_NNT1 (_YBL and_CC use_VV0 it_PPH1 to_TO watch_VVI TV_NN1 )_YBR John_NP1 Carvel_NP1 Men_NN2	UK	2000s	newspaper	Denver Post	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=484	364951181	364951182
486	NB3__040108	to midnight Salt mine to become huge dump for toxic waste 'Missing' pupils blamed on league table competition Exams could	<<< be sat >>>	online in two years Tebbit 's cricket loyalty test hit for six John Carvel , social affairs editor A majority	to_II midnight_NNT1 Salt_NN1 mine_NN1 to_TO become_VVI huge_JJ dump_NN1 for_IF toxic_JJ waste_NN1 'Missing'_NN1 pupils_NN2 blamed_VVN on_II league_NN1 table_NN1 competition_NN1 Exams_NN2 could_VM	<<< be_VBI sat_VVN >>>	online_RR in_II two_MC years_NNT2 Tebbit_NP1 's_GE cricket_NN1 loyalty_NN1 test_NN1 hit_VVN for_IF six_MC John_NP1 Carvel_NP1 ,_YCOM social_JJ affairs_NN2 editor_NN1 A_ZZ1 majority_NN1	UK	2000s	newspaper	Denver Post	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=485	364951626	364951627
487	NB3__040108	to midnight Salt mine to become huge dump for toxic waste 'Missing' pupils blamed on league table competition Exams could	<<< be sat >>>	online in two years Disease risk for lens wearers Press Association People who leave contact lenses in while washing their	to_II midnight_NNT1 Salt_NN1 mine_NN1 to_TO become_VVI huge_JJ dump_NN1 for_IF toxic_JJ waste_NN1 'Missing'_NN1 pupils_NN2 blamed_VVN on_II league_NN1 table_NN1 competition_NN1 Exams_NN2 could_VM	<<< be_VBI sat_VVN >>>	online_RR in_II two_MC years_NNT2 Disease_NN1 risk_NN1 for_IF lens_NN1 wearers_NN2 Press_VV0 Association_NN1 People_NN who_PNQS leave_VV0 contact_NN1 lenses_NN2 in_RP while_CS washing_VVG their_APPGE	UK	2000s	newspaper	Denver Post	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=486	364952527	364952528
488	NB3__040108	to midnight Salt mine to become huge dump for toxic waste 'Missing' pupils blamed on league table competition Exams could	<<< be sat >>>	online in two years Fayed move to block tax allegations Matt Wells Mohamed Al Fayed 's lawyers are trying to	to_II midnight_NNT1 Salt_NN1 mine_NN1 to_TO become_VVI huge_JJ dump_NN1 for_IF toxic_JJ waste_NN1 'Missing'_NN1 pupils_NN2 blamed_VVN on_II league_NN1 table_NN1 competition_NN1 Exams_NN2 could_VM	<<< be_VBI sat_VVN >>>	online_RR in_II two_MC years_NNT2 Fayed_JJ move_NN1 to_TO block_VVI tax_NN1 allegations_NN2 Matt_NP1 Wells_NP1 Mohamed_NP1 Al_NP1 Fayed_JJ 's_GE lawyers_NN2 are_VBR trying_VVG to_TO	UK	2000s	newspaper	Denver Post	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=487	364952925	364952926
489	NB3__040108	to midnight Salt mine to become huge dump for toxic waste 'Missing' pupils blamed on league table competition Exams could	<<< be sat >>>	online in two years Keeping a river industry afloat Environment Agency to boost declining numbers on the water Paul Brown	to_II midnight_NNT1 Salt_NN1 mine_NN1 to_TO become_VVI huge_JJ dump_NN1 for_IF toxic_JJ waste_NN1 'Missing'_NN1 pupils_NN2 blamed_VVN on_II league_NN1 table_NN1 competition_NN1 Exams_NN2 could_VM	<<< be_VBI sat_VVN >>>	online_RR in_II two_MC years_NNT2 Keeping_VVG a_AT1 river_NN1 industry_NN1 afloat_JJ Environment_NN1 Agency_NN1 to_TO boost_VVI declining_JJ numbers_NN2 on_II the_AT water_NN1 Paul_NP1 Brown_NP1	UK	2000s	newspaper	Denver Post	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=488	364953272	364953273
490	NB3__040108	to midnight Salt mine to become huge dump for toxic waste 'Missing' pupils blamed on league table competition Exams could	<<< be sat >>>	online in two years Police show CCTV film of carjack victim Two men held over holidaymaker run down at Liverpool	to_II midnight_NNT1 Salt_NN1 mine_NN1 to_TO become_VVI huge_JJ dump_NN1 for_IF toxic_JJ waste_NN1 'Missing'_NN1 pupils_NN2 blamed_VVN on_II league_NN1 table_NN1 competition_NN1 Exams_NN2 could_VM	<<< be_VBI sat_VVN >>>	online_RR in_II two_MC years_NNT2 Police_NN2 show_VV0 CCTV_NP1 film_NN1 of_IO carjack_NN1 victim_NN1 Two_MC men_NN2 held_VVN over_II holidaymaker_NN1 run_VVN down_RP at_II Liverpool_NP1	UK	2000s	newspaper	Denver Post	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=489	364954181	364954182
491	NB3__040108	to midnight Salt mine to become huge dump for toxic waste 'Missing' pupils blamed on league table competition Exams could	<<< be sat >>>	online in two years Teenager questioned over death Helen Carter Police were continuing to question a 19-year-old yesterday in connection	to_II midnight_NNT1 Salt_NN1 mine_NN1 to_TO become_VVI huge_JJ dump_NN1 for_IF toxic_JJ waste_NN1 'Missing'_NN1 pupils_NN2 blamed_VVN on_II league_NN1 table_NN1 competition_NN1 Exams_NN2 could_VM	<<< be_VBI sat_VVN >>>	online_RR in_II two_MC years_NNT2 Teenager_NN1 questioned_VVN over_II death_NN1 Helen_NP1 Carter_NP1 Police_NN2 were_VBDR continuing_VVG to_TO question_VVI a_AT1 19-year-old_JJ yesterday_RT in_II31 connection_II32	UK	2000s	newspaper	Denver Post	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=490	364955008	364955009
492	NB3__040108	to midnight Salt mine to become huge dump for toxic waste 'Missing' pupils blamed on league table competition Exams could	<<< be sat >>>	online in two years Doctor 's body found on mountain Six months after he went missing , the remains of	to_II midnight_NNT1 Salt_NN1 mine_NN1 to_TO become_VVI huge_JJ dump_NN1 for_IF toxic_JJ waste_NN1 'Missing'_NN1 pupils_NN2 blamed_VVN on_II league_NN1 table_NN1 competition_NN1 Exams_NN2 could_VM	<<< be_VBI sat_VVN >>>	online_RR in_II two_MC years_NNT2 Doctor_NN1 's_GE body_NN1 found_VVN on_II mountain_NN1 Six_MC months_NNT2 after_CS he_PPHS1 went_VVD missing_JJ ,_YCOM the_AT remains_NN2 of_IO	UK	2000s	newspaper	Denver Post	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=491	364955375	364955376
493	NB3__040108	to midnight Salt mine to become huge dump for toxic waste 'Missing' pupils blamed on league table competition Exams could	<<< be sat >>>	online in two years Why good vibrations make opera nonsense Tim Radford , science editor Your tiny hand is what	to_II midnight_NNT1 Salt_NN1 mine_NN1 to_TO become_VVI huge_JJ dump_NN1 for_IF toxic_JJ waste_NN1 'Missing'_NN1 pupils_NN2 blamed_VVN on_II league_NN1 table_NN1 competition_NN1 Exams_NN2 could_VM	<<< be_VBI sat_VVN >>>	online_RR in_II two_MC years_NNT2 Why_RRQ good_JJ vibrations_NN2 make_VV0 opera_NN1 nonsense_NN1 Tim_NP1 Radford_NP1 ,_YCOM science_NN1 editor_NN1 Your_APPGE tiny_JJ hand_NN1 is_VBZ what_DDQ	UK	2000s	newspaper	Denver Post	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=492	364956326	364956327
494	NB3__040108	to midnight Salt mine to become huge dump for toxic waste 'Missing' pupils blamed on league table competition Exams could	<<< be sat >>>	online in two years Biggs back in jail after heart scare Jamie Wilson Ronnie Biggs , the great train robber	to_II midnight_NNT1 Salt_NN1 mine_NN1 to_TO become_VVI huge_JJ dump_NN1 for_IF toxic_JJ waste_NN1 'Missing'_NN1 pupils_NN2 blamed_VVN on_II league_NN1 table_NN1 competition_NN1 Exams_NN2 could_VM	<<< be_VBI sat_VVN >>>	online_RR in_II two_MC years_NNT2 Biggs_VVZ back_RP in_II jail_NN1 after_II heart_NN1 scare_NN1 Jamie_NP1 Wilson_NP1 Ronnie_NP1 Biggs_NP1 ,_YCOM the_AT great_JJ train_NN1 robber_NN1	UK	2000s	newspaper	Denver Post	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=493	364956794	364956795
